"years","status","count","scenario","area"
"2011-2040","loss",1700630,"SSP2-4.5",13775
"2011-2040","gain",1776374,"SSP2-4.5",14389
"2011-2040","stable",2202898,"SSP2-4.5",17843
"2041-2070","loss",1745567,"SSP2-4.5",14139
"2041-2070","gain",2094566,"SSP2-4.5",16966
"2041-2070","stable",2157961,"SSP2-4.5",17479
"2071-2100","loss",1874797,"SSP2-4.5",15186
"2071-2100","gain",2105457,"SSP2-4.5",17054
"2071-2100","stable",2028731,"SSP2-4.5",16433
"2011-2040","loss",1808635,"SSP5-8.5",14650
"2011-2040","gain",1722205,"SSP5-8.5",13950
"2011-2040","stable",2094893,"SSP5-8.5",16969
"2041-2070","loss",1921223,"SSP5-8.5",15562
"2041-2070","gain",2113350,"SSP5-8.5",17118
"2041-2070","stable",1982305,"SSP5-8.5",16057
"2071-2100","loss",2049708,"SSP5-8.5",16603
"2071-2100","gain",2441268,"SSP5-8.5",19774
"2071-2100","stable",1853820,"SSP5-8.5",15016
